Year,Index
1947,22.33166667
1948,24.045
1949,23.80916667
1950,24.0625
1951,25.97333333
1952,26.56666667
1953,26.76833333
1954,26.865
1955,26.79583333
1956,27.19083333
1957,28.11333333
1958,28.88083333
1959,29.15
1960,29.585
1961,29.90166667
1962,30.25333333
1963,30.63333333
1964,31.03833333
1965,31.52833333
1966,32.47083333
1967,33.375
1968,34.79166667
1969,36.68333333
1970,38.84166667
1971,40.48333333
1972,41.80833333
1973,44.425
1974,49.31666667
1975,53.825
1976,56.93333333
1977,60.61666667
1978,65.24166667
1979,72.58333333
1980,82.38333333
1981,90.93333333
1982,96.53333333
1983,99.58333333
1984,103.9333333
1985,107.6
1986,109.6916667
1987,113.6166667
1988,118.275
1989,123.9416667
1990,130.6583333
1991,136.1666667
1992,140.3083333
1993,144.475
1994,148.225
1995,152.3833333
1996,156.8583333
1997,160.525
1998,163.0083333
1999,166.5833333
2000,172.1916667
2001,177.0416667
2002,179.8666667
2003,184
2004,188.9083333
2005,195.2666667
2006,201.5583333
2007,207.3441667
2008,215.25425
2009,214.5646667
2010,218.0761667
2011,224.923
2012,229.5860833
2013,232.95175
2014,236.715
2015,237.00175
2016,239.9891667
2017,245.1213333
2018,251.1014167
2019,255.65075
2020,258.8530833
